iter	Logloss
0	0.6194937242
1	0.5641421803
2	0.5290475138
3	0.4894691669
4	0.4693725588
5	0.4502967388
6	0.4380085904
7	0.4234405521
8	0.4084236021
9	0.4009582142
10	0.3918048205
11	0.3829736209
12	0.3767927927
13	0.3697078226
14	0.3645883754
15	0.3601634806
16	0.3574326273
17	0.3527082685
18	0.3488419472
19	0.3454743972
20	0.3410470583
21	0.3388342663
22	0.3354221371
23	0.3337937852
24	0.3314294858
25	0.3285714543
26	0.3257905072
27	0.3238765147
28	0.3218614945
29	0.3197910863
30	0.3187808322
31	0.3173471929
32	0.3155152658
33	0.3142086853
34	0.3130724652
35	0.3117650933
36	0.3103531939
37	0.3096394353
38	0.3087980868
39	0.3077279039
40	0.3067122555
41	0.3062578339
42	0.3045966357
43	0.3040487572
44	0.3033045789
45	0.3024610769
46	0.3016959482
47	0.3010758708
48	0.3004216608
49	0.2999814885
50	0.2986648405
51	0.2983745838
52	0.2976957801
53	0.2973672795
54	0.2967255923
55	0.2956163543
56	0.2941345915
57	0.2934798993
58	0.2930856236
59	0.292342962
60	0.2913925089
61	0.2910537498
62	0.2904883847
63	0.2889820271
64	0.2885743117
65	0.287786677
66	0.287455355
67	0.2871060921
68	0.2866644475
69	0.2861331414
70	0.2858109284
71	0.2853777369
72	0.2847827413
73	0.2846511594
74	0.2842036916
75	0.2835583105
76	0.2832103344
77	0.2828721407
78	0.2823097991
79	0.2817963855
80	0.2813332377
81	0.2810778816
82	0.2807171501
83	0.2806373835
84	0.2802900262
85	0.2800633717
86	0.2798000904
87	0.2792742935
88	0.2790413907
89	0.2788030534
90	0.2782609825
91	0.277971567
92	0.2775243951
93	0.2769465851
94	0.2765379591
95	0.2762265906
96	0.2757696836
97	0.2751842941
98	0.2748572612
99	0.2746271335
100	0.2744523216
101	0.2740791951
102	0.2736892324
103	0.2734137982
104	0.2728697234
105	0.2726298563
106	0.2723617142
107	0.2722043489
108	0.2719589438
109	0.2715216726
110	0.2712283624
111	0.2708900187
112	0.2704994197
113	0.2702327842
114	0.2699754347
115	0.2698457051
116	0.269239368
117	0.2687966203
118	0.2683758529
119	0.2680978776
120	0.2677212255
121	0.2675604318
122	0.2672083524
123	0.2670626722
124	0.2669331001
125	0.2666752525
126	0.2662530173
127	0.2661192007
128	0.2656045796
129	0.2651310009
130	0.2644474561
131	0.2642359823
132	0.2639450324
133	0.2635613629
134	0.2632531985
135	0.2628366039
136	0.2624560854
137	0.2621182087
138	0.2617632377
139	0.2614589175
140	0.2612215319
141	0.2609829288
142	0.2606994879
143	0.260550262
144	0.2604521909
145	0.2603131125
146	0.2602511029
147	0.2598894775
148	0.2594723213
149	0.2591009744
150	0.2588515024
151	0.258539898
152	0.2582264192
153	0.2578624338
154	0.2575262007
155	0.2569846957
156	0.2565163482
157	0.2563297834
158	0.2560596016
159	0.2558279572
160	0.2554933389
161	0.2550893454
162	0.2548455184
163	0.2545460599
164	0.2541669556
165	0.2538639523
166	0.2537612488
167	0.2534308377
168	0.2531208649
169	0.2529372871
170	0.2525721883
171	0.2523545044
172	0.2521088568
173	0.2518607322
174	0.2515594347
175	0.251417824
176	0.251174453
177	0.2509977266
178	0.2504532533
179	0.2501500232
180	0.2499496828
181	0.2498998581
182	0.2497364213
183	0.249497206
184	0.2491790931
185	0.2488589611
186	0.2487433878
187	0.2485081772
188	0.2483066563
189	0.2481415168
190	0.2477705854
191	0.2475106295
192	0.2471472904
193	0.2469573522
194	0.2466395072
195	0.246494654
196	0.2463524241
197	0.246215021
198	0.2459624733
199	0.2457367451
