iter	Passed	Remaining
0	28	5644
1	53	5269
2	81	5384
3	108	5323
4	135	5277
5	161	5214
6	190	5256
7	216	5201
8	244	5183
9	271	5152
10	299	5148
11	327	5123
12	354	5093
13	379	5043
14	409	5044
15	434	4995
16	461	4963
17	488	4943
18	518	4940
19	545	4906
20	572	4878
21	598	4845
22	628	4839
23	655	4807
24	681	4768
25	708	4741
26	738	4731
27	763	4692
28	791	4666
29	818	4639
30	846	4614
31	873	4584
32	899	4553
33	927	4529
34	955	4504
35	989	4509
36	1021	4499
37	1050	4479
38	1076	4442
39	1103	4412
40	1128	4377
41	1157	4353
42	1184	4324
43	1217	4315
44	1252	4315
45	1279	4284
46	1305	4251
47	1335	4229
48	1368	4216
49	1400	4200
50	1427	4170
51	1458	4151
52	1487	4124
53	1517	4102
54	1542	4067
55	1572	4044
56	1600	4015
57	1627	3983
58	1653	3950
59	1681	3924
60	1707	3891
61	1734	3861
62	1762	3832
63	1789	3803
64	1817	3775
65	1844	3744
66	1872	3716
67	1899	3686
68	1924	3653
69	1950	3622
70	1978	3594
71	2006	3566
72	2032	3535
73	2058	3504
74	2086	3476
75	2113	3448
76	2139	3418
77	2166	3388
78	2196	3364
79	2222	3334
80	2248	3303
81	2275	3274
82	2303	3246
83	2329	3217
84	2355	3187
85	2381	3156
86	2410	3131
87	2436	3100
88	2462	3071
89	2491	3044
90	2519	3017
91	2545	2988
92	2572	2960
93	2598	2930
94	2628	2904
95	2655	2876
96	2680	2846
97	2708	2819
98	2736	2791
99	2761	2761
100	2788	2733
101	2814	2704
102	2844	2678
103	2871	2650
104	2897	2621
105	2924	2593
106	2954	2567
107	2979	2538
108	3006	2510
109	3033	2481
110	3062	2455
111	3089	2427
112	3114	2398
113	3144	2372
114	3171	2343
115	3197	2315
116	3224	2287
117	3254	2261
118	3279	2232
119	3306	2204
120	3333	2176
121	3361	2148
122	3389	2121
123	3416	2093
124	3441	2064
125	3471	2038
126	3499	2011
127	3524	1982
128	3551	1954
129	3578	1926
130	3605	1899
131	3632	1871
132	3658	1842
133	3687	1816
134	3714	1788
135	3740	1760
136	3768	1732
137	3795	1705
138	3821	1677
139	3848	1649
140	3873	1620
141	3902	1593
142	3929	1566
143	3954	1537
144	3981	1510
145	4008	1482
146	4034	1454
147	4061	1427
148	4087	1399
149	4117	1372
150	4144	1345
151	4170	1316
152	4202	1290
153	4235	1265
154	4263	1237
155	4289	1209
156	4318	1182
157	4345	1155
158	4370	1127
159	4402	1100
160	4440	1075
161	4477	1050
162	4516	1025
163	4550	998
164	4585	972
165	4644	951
166	4684	925
167	4717	898
168	4758	872
169	4794	846
170	4830	819
171	4868	792
172	4905	765
173	4940	738
174	4977	711
175	5011	683
176	5049	656
177	5083	628
178	5117	600
179	5151	572
180	5191	544
181	5225	516
182	5259	488
183	5294	460
184	5328	432
185	5363	403
186	5393	374
187	5420	345
188	5445	316
189	5478	288
190	5505	259
191	5531	230
192	5558	201
193	5587	172
194	5612	143
195	5639	115
196	5665	86
197	5693	57
198	5719	28
199	5745	0
